stream_id,played_at,track_id,artist_id,artist_name,genre,platform,country,track_duration_ms,ms_played,skipped,date
S47,2025-06-05 14:07:27,T9008,A4,Drake,Hip-Hop,Mobile,MX,213846,126855,0,2025-06-05
S48,2025-08-14 23:45:20,T8394,A2,Billie Eilish,Pop,Mobile,US,165926,80696,0,2025-08-14
S49,2025-08-24 00:22:31,T5543,A7,SZA,R&B,Mobile,US,178912,64535,1,2025-08-24
S50,2025-04-18 22:07:30,T6155,A1,Taylor Swift,Pop,Mobile,ES,180614,154473,0,2025-04-18
S51,2026-01-24 14:36:15,T4694,A2,Billie Eilish,Pop,Mobile,US,228560,212995,0,2026-01-24
S52,2025-11-17 18:39:41,T4045,A8,Post Malone,Pop,Mobile,US,258050,107009,1,2025-11-17
S53,2026-01-12 03:26:39,T4950,A6,Kendrick Lamar,Rap,TV,US,132098,49735,1,2026-01-12
S54,2025-12-26 18:40:17,T3279,A6,Kendrick Lamar,Rap,Mobile,US,153313,27570,1,2025-12-26
S55,2025-09-11 14:34:48,T2672,A4,Drake,Hip-Hop,Mobile,US,183239,126071,0,2025-09-11
S56,2026-01-04 20:51:14,T7037,A4,Drake,Hip-Hop,Mobile,MX,161143,133514,0,2026-01-04
S57,2025-03-13 12:52:26,T2277,A7,SZA,R&B,Mobile,MX,169989,130200,0,2025-03-13
S58,2025-04-23 06:16:39,T3269,A7,SZA,R&B,Mobile,US,236580,210213,0,2025-04-23
S59,2025-02-24 18:01:48,T5202,A5,The Weeknd,R&B,Mobile,US,137841,102494,0,2025-02-24
S60,2025-06-10 03:49:30,T2788,A10,Olivia Rodrigo,Pop,Desktop,US,196998,73076,1,2025-06-10
S61,2025-07-01 16:36:40,T8063,A10,Olivia Rodrigo,Pop,Mobile,US,139184,80788,0,2025-07-01
S62,2025-05-21 19:40:33,T1091,A4,Drake,Hip-Hop,Mobile,US,248367,189578,0,2025-05-21
S63,2025-12-06 17:33:50,T6647,A8,Post Malone,Pop,Mobile,US,230131,132160,0,2025-12-06
S64,2025-06-20 19:54:58,T8067,A5,The Weeknd,R&B,Mobile,US,127489,98450,0,2025-06-20
S65,2025-05-25 11:02:16,T1899,A5,The Weeknd,R&B,Mobile,MX,135767,97264,0,2025-05-25
S66,2025-08-22 18:13:13,T7996,A1,Taylor Swift,Pop,Mobile,MX,187247,138471,0,2025-08-22
S67,2025-04-02 08:45:37,T5756,A5,The Weeknd,R&B,Mobile,GB,143871,60754,0,2025-04-02
S68,2025-11-27 22:34:00,T9068,A9,"Tyler, The Creator",Alternative,Mobile,US,241233,79836,1,2025-11-27
S69,2025-03-08 04:47:28,T8222,A8,Post Malone,Pop,Mobile,US,231219,221882,0,2025-03-08
S70,2026-01-31 18:03:32,T7923,A8,Post Malone,Pop,Mobile,US,168164,150039,0,2026-01-31
S71,2025-11-16 16:16:27,T8923,A2,Billie Eilish,Pop,Mobile,US,189919,134725,0,2025-11-16
S72,2025-04-24 06:49:25,T8367,A3,Bad Bunny,Latin,Desktop,ES,258523,84289,1,2025-04-24
S73,2025-02-08 09:07:33,T6470,A2,Billie Eilish,Pop,Mobile,CA,238357,155125,0,2025-02-08
S74,2025-12-02 16:58:17,T6772,A3,Bad Bunny,Latin,Desktop,BD,175242,26271,1,2025-12-02
S75,2025-10-22 20:30:58,T3104,A5,The Weeknd,R&B,Desktop,US,183529,111721,0,2025-10-22
S76,2025-10-31 06:26:15,T3428,A3,Bad Bunny,Latin,Mobile,US,156256,68199,0,2025-10-31
S77,2025-11-16 06:57:09,T9285,A5,The Weeknd,R&B,Mobile,CA,254284,213251,0,2025-11-16
S78,2025-03-07 22:39:11,T3501,A4,Drake,Hip-Hop,Mobile,US,186452,133397,0,2025-03-07
S79,2025-06-21 09:21:15,T3759,A3,Bad Bunny,Latin,Mobile,MX,171246,158270,0,2025-06-21
S80,2025-03-23 20:11:10,T8950,A1,Taylor Swift,Pop,TV,MX,215853,205535,0,2025-03-23
S81,2025-12-16 23:19:50,T7779,A9,"Tyler, The Creator",Alternative,Mobile,ES,198295,171229,0,2025-12-16
S82,2025-09-21 03:00:26,T9286,A1,Taylor Swift,Pop,Mobile,US,210882,163913,0,2025-09-21
S83,2025-06-11 23:02:11,T3957,A1,Taylor Swift,Pop,Mobile,US,159499,122397,0,2025-06-11
S84,2025-03-03 22:29:08,T8752,A8,Post Malone,Pop,Mobile,GB,239481,118287,0,2025-03-03
S85,2025-06-05 08:52:53,T2042,A10,Olivia Rodrigo,Pop,Desktop,US,123698,108403,0,2025-06-05
S86,2025-06-10 01:36:00,T2711,A7,SZA,R&B,TV,US,152969,111256,0,2025-06-10
S87,2025-10-31 12:41:48,T5045,A1,Taylor Swift,Pop,TV,US,255309,241242,0,2025-10-31
S88,2025-09-26 15:03:14,T5152,A2,Billie Eilish,Pop,TV,CA,201870,183492,0,2025-09-26
S89,2025-12-24 09:50:26,T8970,A10,Olivia Rodrigo,Pop,Desktop,CA,139553,134858,0,2025-12-24
S90,2025-07-29 20:07:59,T5578,A8,Post Malone,Pop,Mobile,US,251064,195445,0,2025-07-29
S91,2025-03-25 07:59:22,T5372,A5,The Weeknd,R&B,Mobile,GB,122864,112026,0,2025-03-25
S92,2025-10-25 07:14:26,T6570,A2,Billie Eilish,Pop,Mobile,BD,159128,28007,1,2025-10-25
S93,2025-11-12 07:30:38,T7096,A1,Taylor Swift,Pop,Mobile,GB,135326,113771,0,2025-11-12
S94,2025-08-28 22:46:07,T3875,A1,Taylor Swift,Pop,Desktop,US,256484,110882,0,2025-08-28
S95,2025-11-16 02:29:57,T7426,A6,Kendrick Lamar,Rap,Mobile,US,129349,124583,0,2025-11-16
S96,2025-08-06 04:54:41,T2647,A1,Taylor Swift,Pop,Mobile,US,171461,52242,1,2025-08-06
S97,2025-08-15 22:17:03,T7046,A10,Olivia Rodrigo,Pop,Mobile,US,193933,150886,0,2025-08-15
S98,2025-07-14 19:46:42,T8969,A2,Billie Eilish,Pop,Mobile,US,182586,159186,0,2025-07-14
S99,2025-02-16 15:21:02,T1300,A7,SZA,R&B,Mobile,CA,228553,142290,0,2025-02-16
S100,2025-03-20 19:14:34,T5559,A2,Billie Eilish,Pop,Desktop,US,244514,69304,1,2025-03-20
S101,2025-02-18 23:46:37,T8811,A5,The Weeknd,R&B,Mobile,US,183182,160567,0,2025-02-18
S102,2025-09-26 02:32:13,T4202,A1,Taylor Swift,Pop,Mobile,US,142678,124814,0,2025-09-26
S103,2025-06-06 11:47:00,T4360,A7,SZA,R&B,Mobile,US,141947,67089,0,2025-06-06
S104,2025-08-11 04:52:48,T3311,A6,Kendrick Lamar,Rap,Mobile,GB,190660,95403,1,2025-08-11
S105,2025-12-30 14:25:07,T5286,A1,Taylor Swift,Pop,Mobile,US,161849,104081,0,2025-12-30
S106,2025-05-13 11:49:15,T8309,A8,Post Malone,Pop,Mobile,GB,215457,154681,0,2025-05-13
S107,2025-07-08 21:37:09,T8853,A5,The Weeknd,R&B,Mobile,CA,230994,177095,0,2025-07-08
S108,2025-11-10 07:41:36,T3782,A9,"Tyler, The Creator",Alternative,Mobile,ES,219114,49350,1,2025-11-10
S109,2025-05-05 17:25:27,T4579,A9,"Tyler, The Creator",Alternative,Mobile,US,129250,66192,0,2025-05-05
S110,2025-03-09 01:11:19,T5352,A9,"Tyler, The Creator",Alternative,Mobile,US,255470,53865,1,2025-03-09
S111,2025-05-28 19:48:13,T4915,A1,Taylor Swift,Pop,Mobile,US,251729,233248,0,2025-05-28
S112,2025-04-09 23:45:34,T1973,A1,Taylor Swift,Pop,Desktop,US,175488,171704,0,2025-04-09
S113,2026-01-08 01:28:11,T7469,A10,Olivia Rodrigo,Pop,Mobile,CA,218356,187780,0,2026-01-08
S114,2025-11-30 06:51:17,T1955,A5,The Weeknd,R&B,Mobile,BD,153754,114907,0,2025-11-30
S115,2025-09-24 22:43:01,T2181,A2,Billie Eilish,Pop,Desktop,US,177199,151229,0,2025-09-24
S116,2025-12-19 16:01:58,T6881,A8,Post Malone,Pop,TV,ES,239424,218684,0,2025-12-19
S117,2025-11-28 14:16:09,T8184,A3,Bad Bunny,Latin,Desktop,US,193938,144457,0,2025-11-28
S118,2025-04-19 17:17:21,T9118,A7,SZA,R&B,Mobile,BD,239647,225498,0,2025-04-19
S119,2025-12-25 22:18:57,T2612,A8,Post Malone,Pop,Mobile,GB,219079,39882,1,2025-12-25
S120,2025-08-21 16:52:00,T1677,A8,Post Malone,Pop,Mobile,CA,129106,108809,0,2025-08-21
S121,2025-11-29 21:23:35,T2487,A3,Bad Bunny,Latin,Mobile,US,209359,196654,0,2025-11-29
S122,2025-12-26 23:24:35,T8727,A4,Drake,Hip-Hop,Desktop,MX,234261,178250,0,2025-12-26
S123,2025-06-07 18:30:30,T2848,A4,Drake,Hip-Hop,Desktop,US,204921,39158,1,2025-06-07
S124,2025-03-21 17:01:18,T1523,A5,The Weeknd,R&B,Mobile,MX,234452,97839,1,2025-03-21
S125,2025-05-05 08:52:11,T7080,A2,Billie Eilish,Pop,Mobile,US,178053,127906,0,2025-05-05
S126,2025-07-14 16:09:30,T4346,A4,Drake,Hip-Hop,Mobile,ES,253023,66735,1,2025-07-14
S127,2025-12-03 10:44:21,T1047,A5,The Weeknd,R&B,Desktop,CA,253442,229149,0,2025-12-03
S128,2025-12-16 08:22:51,T3587,A5,The Weeknd,R&B,Mobile,MX,224457,190955,0,2025-12-16
S129,2025-02-08 21:22:14,T5171,A8,Post Malone,Pop,Mobile,US,168068,113636,0,2025-02-08
S130,2025-08-11 21:25:02,T7302,A5,The Weeknd,R&B,Mobile,CA,161047,139965,0,2025-08-11
S131,2025-07-11 08:22:19,T1109,A2,Billie Eilish,Pop,Mobile,US,170224,138226,0,2025-07-11
S132,2025-05-03 01:44:39,T5272,A6,Kendrick Lamar,Rap,Desktop,GB,246487,177635,0,2025-05-03
S133,2025-03-25 09:56:38,T2735,A8,Post Malone,Pop,Mobile,MX,238609,222255,0,2025-03-25
S134,2025-06-14 08:55:07,T9714,A3,Bad Bunny,Latin,Mobile,GB,175094,134285,0,2025-06-14
S135,2026-01-13 15:17:40,T8419,A6,Kendrick Lamar,Rap,Desktop,US,130502,32588,0,2026-01-13
S136,2025-06-09 11:05:26,T2877,A2,Billie Eilish,Pop,Mobile,MX,169130,153205,0,2025-06-09
S137,2025-08-14 17:35:14,T8443,A3,Bad Bunny,Latin,Mobile,US,189505,41976,1,2025-08-14
S138,2025-10-21 09:36:57,T8826,A9,"Tyler, The Creator",Alternative,Desktop,US,229213,95594,1,2025-10-21
S139,2025-06-23 01:04:38,T1001,A9,"Tyler, The Creator",Alternative,Mobile,GB,146234,31614,1,2025-06-23
S140,2026-01-25 12:08:06,T7640,A5,The Weeknd,R&B,TV,US,130807,98349,0,2026-01-25
S141,2026-01-21 16:40:19,T1492,A7,SZA,R&B,Mobile,US,220491,186236,0,2026-01-21
S142,2025-05-14 09:09:25,T7170,A9,"Tyler, The Creator",Alternative,Mobile,US,129788,98864,0,2025-05-14
S143,2025-08-07 08:03:37,T4703,A10,Olivia Rodrigo,Pop,Mobile,ES,230022,56069,1,2025-08-07
S144,2025-06-01 20:23:13,T2432,A5,The Weeknd,R&B,Mobile,ES,230875,162080,0,2025-06-01
S145,2025-05-26 20:40:00,T2325,A5,The Weeknd,R&B,Desktop,ES,163491,107800,0,2025-05-26
S146,2025-02-21 07:16:44,T8176,A4,Drake,Hip-Hop,Mobile,MX,242882,187650,0,2025-02-21
S147,2025-09-15 21:23:26,T2017,A1,Taylor Swift,Pop,Mobile,MX,139435,22658,1,2025-09-15
S148,2025-08-09 04:06:08,T6342,A4,Drake,Hip-Hop,Desktop,US,225442,181145,0,2025-08-09
S149,2025-02-27 07:42:34,T9168,A8,Post Malone,Pop,Mobile,US,258231,185964,0,2025-02-27
S150,2025-05-24 14:57:11,T7896,A8,Post Malone,Pop,Mobile,GB,223789,118135,0,2025-05-24
S151,2025-12-30 19:20:02,T5619,A9,"Tyler, The Creator",Alternative,Desktop,US,244939,116948,0,2025-12-30
S152,2025-05-09 18:14:20,T5028,A1,Taylor Swift,Pop,Mobile,US,169389,129965,0,2025-05-09
S153,2025-04-03 20:09:32,T1921,A5,The Weeknd,R&B,Mobile,US,197611,123700,0,2025-04-03
S154,2025-08-04 18:45:58,T9200,A1,Taylor Swift,Pop,Mobile,MX,246059,220222,0,2025-08-04
S155,2026-01-31 04:51:05,T7929,A2,Billie Eilish,Pop,Desktop,ES,162945,119283,0,2026-01-31
S156,2025-05-10 18:01:28,T6354,A9,"Tyler, The Creator",Alternative,Mobile,US,234188,211692,0,2025-05-10
S157,2025-10-09 18:54:39,T2787,A5,The Weeknd,R&B,Mobile,CA,232873,138149,0,2025-10-09
S158,2025-11-12 16:32:03,T1107,A7,SZA,R&B,TV,US,252534,137893,0,2025-11-12
S159,2025-05-08 22:58:03,T7413,A1,Taylor Swift,Pop,Mobile,US,183220,150849,0,2025-05-08
S160,2025-10-30 21:28:36,T6018,A4,Drake,Hip-Hop,Mobile,MX,185344,142203,0,2025-10-30
S161,2025-06-24 14:59:59,T1085,A6,Kendrick Lamar,Rap,Mobile,GB,129413,101445,0,2025-06-24
S162,2025-09-24 15:19:40,T8075,A1,Taylor Swift,Pop,Mobile,US,159064,128762,0,2025-09-24
S163,2025-09-24 23:22:44,T7160,A3,Bad Bunny,Latin,Mobile,US,154424,112399,0,2025-09-24
S164,2025-08-20 10:17:48,T5875,A1,Taylor Swift,Pop,Mobile,GB,153899,95138,0,2025-08-20
S165,2025-03-14 03:24:00,T3885,A6,Kendrick Lamar,Rap,Mobile,US,244851,119331,0,2025-03-14
S166,2025-12-08 17:53:14,T4455,A10,Olivia Rodrigo,Pop,Mobile,US,151247,97668,0,2025-12-08
S167,2025-06-08 16:33:47,T4157,A8,Post Malone,Pop,Mobile,BD,185591,141133,0,2025-06-08
S168,2025-04-19 17:19:53,T2663,A10,Olivia Rodrigo,Pop,Mobile,GB,139907,80686,0,2025-04-19
S169,2025-02-22 20:36:26,T4839,A8,Post Malone,Pop,Mobile,ES,252605,222331,0,2025-02-22
S170,2025-09-08 20:21:50,T5546,A9,"Tyler, The Creator",Alternative,Mobile,BD,137046,36318,1,2025-09-08
S171,2025-10-11 18:04:33,T9455,A5,The Weeknd,R&B,Mobile,US,172175,89372,0,2025-10-11
S172,2025-02-12 21:38:02,T2637,A5,The Weeknd,R&B,Mobile,CA,245557,190955,0,2025-02-12
S173,2025-08-12 09:16:23,T6876,A4,Drake,Hip-Hop,Mobile,US,224271,51547,1,2025-08-12
S174,2025-05-04 19:23:02,T5385,A8,Post Malone,Pop,TV,US,251069,207331,0,2025-05-04
S175,2025-09-29 12:44:06,T1832,A2,Billie Eilish,Pop,Desktop,GB,182742,171939,0,2025-09-29
S176,2025-04-14 22:24:55,T7404,A1,Taylor Swift,Pop,Mobile,US,198052,26334,1,2025-04-14
S177,2025-10-16 19:02:14,T5172,A10,Olivia Rodrigo,Pop,Mobile,US,253076,120898,0,2025-10-16
S178,2025-06-30 21:28:49,T5761,A1,Taylor Swift,Pop,Mobile,GB,190970,152362,0,2025-06-30
S179,2026-01-10 22:28:09,T4629,A10,Olivia Rodrigo,Pop,Mobile,US,157014,123936,0,2026-01-10
S180,2025-03-31 23:31:22,T2577,A7,SZA,R&B,Desktop,US,221700,194257,0,2025-03-31
S181,2025-06-15 13:38:08,T8914,A3,Bad Bunny,Latin,Mobile,US,225874,154059,0,2025-06-15
S182,2025-03-22 21:36:51,T9997,A7,SZA,R&B,Mobile,US,243682,193663,0,2025-03-22
S183,2026-01-05 23:39:13,T5507,A8,Post Malone,Pop,Mobile,BD,161312,107573,0,2026-01-05
S184,2025-12-21 10:03:19,T9777,A2,Billie Eilish,Pop,Mobile,CA,171126,60695,1,2025-12-21
S185,2025-05-16 18:27:13,T8278,A8,Post Malone,Pop,Mobile,US,178477,159740,0,2025-05-16
S186,2025-10-04 23:43:33,T7795,A8,Post Malone,Pop,Mobile,US,124561,43852,1,2025-10-04
S187,2025-12-03 03:12:30,T4793,A2,Billie Eilish,Pop,Mobile,US,250387,233159,0,2025-12-03
S188,2025-08-26 21:32:51,T3148,A1,Taylor Swift,Pop,Mobile,US,186931,101366,0,2025-08-26
S189,2025-08-18 08:38:27,T5186,A2,Billie Eilish,Pop,Mobile,US,251124,246230,0,2025-08-18
S190,2025-05-10 16:24:31,T4883,A2,Billie Eilish,Pop,Desktop,US,139535,105753,0,2025-05-10
S191,2025-03-15 06:08:27,T1464,A1,Taylor Swift,Pop,Mobile,GB,183838,166061,0,2025-03-15
S192,2025-12-27 10:57:30,T1705,A7,SZA,R&B,Mobile,GB,155554,136083,0,2025-12-27
S193,2025-12-28 10:16:52,T6824,A4,Drake,Hip-Hop,Mobile,US,134675,76371,0,2025-12-28
S194,2025-09-24 20:22:12,T9233,A9,"Tyler, The Creator",Alternative,Mobile,CA,153912,89980,0,2025-09-24
S195,2025-06-14 19:54:09,T1556,A2,Billie Eilish,Pop,Mobile,MX,122112,53257,0,2025-06-14
S196,2025-06-18 06:15:05,T5561,A4,Drake,Hip-Hop,Mobile,US,153063,118215,0,2025-06-18
S197,2025-10-29 23:47:10,T6719,A6,Kendrick Lamar,Rap,Mobile,US,232844,86625,0,2025-10-29
S198,2025-12-27 09:57:51,T5832,A9,"Tyler, The Creator",Alternative,Mobile,US,223046,169507,0,2025-12-27
S199,2025-12-24 08:02:27,T7122,A5,The Weeknd,R&B,Mobile,BD,170732,101898,0,2025-12-24
S200,2025-11-19 13:40:14,T2719,A4,Drake,Hip-Hop,Desktop,US,217557,204624,0,2025-11-19
S201,2025-09-28 07:59:12,T6049,A9,"Tyler, The Creator",Alternative,Mobile,US,192755,153550,0,2025-09-28
S202,2025-03-11 19:41:51,T7691,A3,Bad Bunny,Latin,Mobile,US,250788,140833,0,2025-03-11
S203,2025-04-10 05:55:44,T7238,A1,Taylor Swift,Pop,TV,US,225315,63614,0,2025-04-10
S204,2025-12-27 19:16:06,T1083,A4,Drake,Hip-Hop,Mobile,MX,188163,173442,0,2025-12-27
S205,2025-09-14 19:27:37,T4429,A8,Post Malone,Pop,Mobile,BD,181506,63966,1,2025-09-14
S206,2025-02-09 20:12:59,T8067,A1,Taylor Swift,Pop,Mobile,BD,209538,168144,0,2025-02-09
S207,2025-03-18 10:16:14,T8626,A6,Kendrick Lamar,Rap,Desktop,US,128701,100226,0,2025-03-18
S208,2025-10-06 10:35:27,T7746,A6,Kendrick Lamar,Rap,Mobile,US,259007,234467,0,2025-10-06
S209,2025-02-08 04:14:45,T4911,A9,"Tyler, The Creator",Alternative,Mobile,CA,137845,102072,0,2025-02-08
S210,2025-04-09 20:52:10,T4156,A3,Bad Bunny,Latin,Mobile,US,192456,79463,0,2025-04-09
S211,2025-08-24 19:55:30,T3357,A3,Bad Bunny,Latin,Mobile,US,154738,148321,0,2025-08-24
S212,2025-10-17 03:03:34,T5772,A4,Drake,Hip-Hop,Mobile,BD,121551,36317,1,2025-10-17
S213,2025-10-01 22:33:51,T1563,A3,Bad Bunny,Latin,Desktop,US,205771,113091,0,2025-10-01
S214,2025-05-03 21:26:09,T6190,A7,SZA,R&B,Mobile,BD,160851,107566,0,2025-05-03
S215,2025-10-24 20:29:44,T1053,A6,Kendrick Lamar,Rap,Mobile,ES,229588,214945,0,2025-10-24
S216,2025-05-08 20:19:28,T8969,A7,SZA,R&B,Mobile,GB,218395,162303,0,2025-05-08
S217,2025-06-10 04:57:52,T5930,A8,Post Malone,Pop,Mobile,GB,124934,96581,0,2025-06-10
S218,2025-11-06 20:28:22,T6421,A9,"Tyler, The Creator",Alternative,Mobile,US,194232,77002,1,2025-11-06
S219,2025-10-01 02:56:49,T5228,A4,Drake,Hip-Hop,Mobile,US,192404,139705,0,2025-10-01
S220,2025-12-12 20:20:47,T2874,A10,Olivia Rodrigo,Pop,Mobile,US,163155,139506,0,2025-12-12
S221,2025-10-04 04:42:09,T6353,A2,Billie Eilish,Pop,Mobile,US,129125,12142,1,2025-10-04
S222,2025-08-31 10:40:11,T3945,A7,SZA,R&B,Mobile,US,235571,146599,0,2025-08-31
S223,2025-03-15 11:29:50,T3757,A5,The Weeknd,R&B,Mobile,MX,139088,112359,0,2025-03-15
S224,2025-06-24 13:32:17,T9446,A8,Post Malone,Pop,Desktop,US,183840,143614,0,2025-06-24
S225,2025-05-19 12:13:21,T9294,A5,The Weeknd,R&B,Mobile,MX,247391,169557,0,2025-05-19
S226,2025-05-11 10:20:00,T6581,A8,Post Malone,Pop,Desktop,US,146999,81149,0,2025-05-11
S227,2026-01-25 21:48:42,T1275,A9,"Tyler, The Creator",Alternative,Mobile,BD,163606,138644,0,2026-01-25
S228,2025-07-03 00:51:59,T5608,A7,SZA,R&B,Desktop,CA,251032,184908,0,2025-07-03
S229,2025-12-25 20:14:35,T5454,A8,Post Malone,Pop,Mobile,US,258144,209019,0,2025-12-25
S230,2025-09-24 02:46:53,T1947,A1,Taylor Swift,Pop,Mobile,US,136773,85826,0,2025-09-24
S231,2025-11-25 04:21:31,T3164,A2,Billie Eilish,Pop,Mobile,US,236336,229726,0,2025-11-25
S232,2025-08-09 04:57:45,T8581,A10,Olivia Rodrigo,Pop,Mobile,US,161725,119824,0,2025-08-09
S233,2025-09-03 15:53:32,T3355,A7,SZA,R&B,Mobile,US,259611,175172,0,2025-09-03
S234,2025-08-05 19:57:40,T2034,A5,The Weeknd,R&B,Mobile,ES,230069,106132,1,2025-08-05
S235,2025-04-22 21:58:38,T6999,A3,Bad Bunny,Latin,Mobile,GB,201290,39977,1,2025-04-22
S236,2025-10-28 19:22:42,T8588,A1,Taylor Swift,Pop,Mobile,US,230030,162341,0,2025-10-28
S237,2025-05-25 09:54:01,T4003,A3,Bad Bunny,Latin,Desktop,GB,224368,199635,0,2025-05-25
S238,2025-02-16 00:01:37,T1596,A5,The Weeknd,R&B,Desktop,US,220541,141057,0,2025-02-16
S239,2025-09-29 15:54:50,T4736,A2,Billie Eilish,Pop,Mobile,BD,144780,115280,0,2025-09-29
S240,2025-04-15 23:28:51,T8555,A2,Billie Eilish,Pop,Mobile,US,167873,148393,0,2025-04-15
S241,2026-01-12 14:45:59,T7038,A5,The Weeknd,R&B,Mobile,US,197912,41722,1,2026-01-12
S242,2026-01-18 00:02:38,T9837,A6,Kendrick Lamar,Rap,Mobile,MX,209835,183456,0,2026-01-18
